TRGID,timeStamp,Location
TRG-89127642,03/04/20 13:42:15,L2694904
TRG-89579762,03/04/20 13:53:25,L2694904
TRG-87332318,03/04/20 13:53:30,L2694904
TRG-89087132,03/04/20 13:53:33,L2694904
TRG-87694051,03/04/20 13:53:38,L2694904
TRG-88809031,03/04/20 13:53:45,L2694904
TRG-86915469,03/04/20 13:53:51,L2694904
TRG-87565079,03/04/20 13:53:57,L2694904
TRG-90656345,03/04/20 13:56:04,L2694904
TRG-91259083,03/04/20 13:56:09,L2694904
TRG-91254417,03/04/20 13:56:13,L2694904
TRG-89450299,03/04/20 13:56:17,L2694904
TRG-91943703,03/04/20 13:56:57,L2694904
TRG-89449975,03/04/20 13:57:03,L2694904
TRG-88671645,03/04/20 13:57:14,L2694904
TRG-78188967,03/04/20 13:59:05,L2694904
TRG-72147741,03/04/20 13:59:14,L2694904
TRG-91022491,03/04/20 13:59:18,L2694904
TRG-91033530,03/04/20 13:59:22,L2694904
TRG-68275757,03/04/20 13:59:26,L2694904
TRG-86390884,03/04/20 13:59:30,L2694904
TRG-71805584,03/04/20 13:59:43,L2694904
TRG-84012827,03/04/20 13:59:47,L2694904
TRG-75835793,03/04/20 13:59:54,L2694904
TRG-70267915,03/04/20 14:00:01,L2694904
TRG-77743216,03/04/20 14:00:12,L2694904
TRG-74665110,03/04/20 14:00:15,L2694904
TRG-85850815,03/04/20 14:00:18,L2694904
TRG-73880819,03/04/20 14:01:22,L2694904
TRG-85849401,03/04/20 14:01:27,L2694904
TRG-85454505,03/04/20 14:01:42,L2694904
TRG-77387064,03/04/20 14:01:48,L2694904
TRG-82320712,03/04/20 14:01:56,L2694904
TRG-84978062,03/04/20 14:02:01,L2694904
TRG-73174445,03/04/20 14:02:05,L2694904
TRG-79276019,03/04/20 14:02:07,L2694904
TRG-79682630,03/04/20 14:02:10,L2694904
TRG-81827935,03/04/20 14:02:14,L2694904
TRG-76281317,03/04/20 14:02:22,L2694904
TRG-72902580,03/04/20 14:02:55,L2694904
TRG-81803667,03/04/20 14:03:01,L2694904
